,Categorias,Descripcion,img
0,Nuevas Tecnologías,"¿Necesitas asistencia con tu móvil, ordenador o televisión? Enviar un correo, hacer una videollamada, poner Netflix en la tele…",tecnologias.png
1,Salud,¿Quieres pedir cita médica por Internet o que alguien te acompañe?,salud.png
2,Amigos y Ocio,Entra aquí y conoce personas cercanas y afines a ti,amigos.png
3,El día a día,¿Buscas compañía en tu rutina diaria o ayuda con las tareas cotidianas?,diaadia.png
4,Burocracia,¿No sabes cómo gestionar tu papeleo por Internet?,burocracia.png
5,Servicios del Municipio,Entérate y disfruta de todos los planes en tu zona,municipio.png
